A1,omega
0.001,1.0
0.002808080808080808,1.0
0.004616161616161616,1.0
0.006424242424242424,1.0
0.008232323232323233,1.0
0.01004040404040404,1.0
0.011848484848484848,1.0
0.013656565656565658,1.0
0.015464646464646466,1.0
0.017272727272727273,1.0
0.01908080808080808,1.0
0.02088888888888889,1.0
0.022696969696969698,1.0
0.024505050505050505,1.0
0.026313131313131316,1.0
0.028121212121212123,0.9999999999999851
0.02992929292929293,0.9999999999999665
0.03173737373737374,0.9999999999999334
0.033545454545454545,0.999999999999859
0.03535353535353535,0.9999999999997377
0.03716161616161616,0.9999999999995167
0.038969696969696974,0.9999999999991454
0.04077777777777778,0.9999999999985082
0.04258585858585859,0.9999999999974957
0.044393939393939395,0.9999999999958697
0.0462020202020202,0.9999999999933051
0.04801010101010101,0.9999999999893595
0.04981818181818182,0.9999999999833743
0.05162626262626263,0.9999999999744174
0.05343434343434344,0.9999999999612128
0.055242424242424246,0.9999999999419866
0.05705050505050505,0.9999999999143323
0.05885858585858586,0.9999999998750009
0.06066666666666667,0.9999999998196452
0.062474747474747475,0.9999999997425093
0.06428282828282829,0.9999999996360321
0.06609090909090909,0.999999999490317
0.0678989898989899,0.9999999992925744
0.0697070707070707,0.9999999990263354
0.07151515151515152,0.9999999986705413
0.07332323232323232,0.9999999981984015
0.07513131313131313,0.9999999975760986
0.07693939393939395,0.9999999967610793
0.07874747474747475,0.9999999957001547
0.08055555555555556,0.9999999943271229
0.08236363636363636,0.9999999925601126
0.08417171717171718,0.9999999902975992
0.08597979797979798,0.9999999874158175
0.08778787878787879,0.9999999837626297
0.0895959595959596,0.9999999791530002
0.0914040404040404,0.9999999733631696
0.09321212121212122,0.9999999661204672
0.09502020202020202,0.9999999570979108
0.09682828282828283,0.999999945903928
0.09863636363636363,0.9999999320645184
0.10044444444444445,0.9999999150186153
0.10225252525252526,0.9999998940997005
0.10406060606060606,0.9999998685157012
0.10586868686868688,0.9999998373144074
0.10767676767676768,0.999999799371611
0.10948484848484849,0.9999997534310845
0.11129292929292929,0.9999996979126675
0.1131010101010101,0.9999996310007805
0.1149090909090909,0.9999995506493894
0.11671717171717172,0.9999994549519517
0.11852525252525253,0.9999993390655062
0.12033333333333333,0.9999992020300454
0.12214141414141415,0.9999990346164709
0.12394949494949495,0.9999988449428071
0.12575757575757576,0.9999986156419127
0.12756565656565658,0.9999983445033436
0.12937373737373736,0.9999980251323038
0.13118181818181818,0.999997648973388
0.132989898989899,0.9999972072631821
0.1347979797979798,0.9999966889809851
0.13660606060606062,0.9999960870775894
0.1384141414141414,0.9999953780186488
0.14022222222222222,0.9999945569470945
0.14203030303030303,0.9999935998340138
0.14383838383838385,0.9999924919078594
0.14564646464646464,0.9999911896530483
0.14745454545454545,0.9999896986852008
0.14926262626262626,0.9999879663376385
0.15107070707070708,0.999985964994497
0.1528787878787879,0.9999837812718491
0.15468686868686868,0.9999810418628391
0.1564949494949495,0.9999779848996883
0.1583030303030303,0.9999742541468087
0.16011111111111112,0.9999707809052143
0.16191919191919193,0.9999662230164695
0.16372727272727272,0.9999609111680936
0.16553535353535354,0.9999546788408028
0.16734343434343435,0.9999464943051014
0.16915151515151516,0.9999400680981685
0.17095959595959595,0.9999324697466757
0.17276767676767676,0.9999216735789062
0.17457575757575758,0.9999077551645684
0.1763838383838384,0.999896163816026
0.1781919191919192,0.9998784262843934
0.18,0.9998646031684906
